;Name;MovieType;Director;Duration;Year;Country;Worldwide;Scenarist;Month;Season;Top_Director
682;The Spiderwick Chronicles;Aile;Mark Waters;96;2008;ABD;$164,170,327;"Karey Kirkpatrick
                                        ";Mart;spring;0
684;Love Actually;Dram;Richard Curtis;135;2003;Multi Nation;$244,931,766;Richard Curtis;Ocak;winter;0
685;The Conjuring;Gerilim;James Wan;112;2013;ABD;$319,494,638;"Chad Hayes
                                        ";A?ustos;summer;0
687;Serendipity;Dram;Peter Chelsom;90;2001;ABD;$77,516,304;Marc Klein;May?s;spring;0
688;The Princess Diaries 2: Royal Engagement;Aile;Garry Marshall;113;2004;ABD;$134,734,481;Gina Wendkos;Aral?k;winter;0
689;Bedtime Stories;Aile;Adam Shankman;99;2008;ABD;$212,874,864;"Tim Herlihy
                                        ";?ubat;winter;0
690;Match Point;Dram;Woody Allen;124;2005;Multi Nation;$85,638,656;Woody Allen;?ubat;winter;0
692;Good Luck Chuck;Komedi;Mark Helfrich;101;2007;Multi Nation;$59,768,495;"Josh Stolberg
                                        ";Eylül;autumn;0
693;Son Ders: A?k ve Üniversite;Dram;"Mustafa U?ur Ya?c?o?lu
                                        ,                                                                                                                     Iraz Okumu?";96;2008;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
694;Anger Management;Komedi;Peter Segal;106;2003;ABD;$195,745,823;David Dorfman;Haziran;summer;0
695;Vizontele Tuuba;Dram;Y?lmaz Erdo?an;119;2003;Türkiye;$13,954,476;#YOK;#YOK;#YOK;#YOK
696;Crash;Dram;Paul Haggis;112;2004;Multi Nation;$2,664,812;"Paul Haggis
                                        ";Haziran;summer;0
697;Asterix Aux Jeux Olympiques;Aile;"Frédéric Forestier
                                        ,                                                                                                                     Thomas Langmann";116;2008;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
698;Ulak;Dram;Ça?an Irmak;102;2008;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
699;A Lot Like Love;Dram;Nigel Cole;107;2005;ABD;$42,886,719;Colin Patrick Lynch;May?s;spring;0
700;Barfi!;Dram;Anurag Basu;151;2012;Hindistan;#YOK;#YOK;#YOK;#YOK;#YOK
701;My Sassy Girl;Komedi;Yann Samuell;92;2008;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
702;Sanctum;Aksiyon;Alister Grierson;108;2011;Multi Nation;$108,609,310;"Andrew Wight
                                        ";?ubat;winter;0
703;Poseidon;Aksiyon;Wolfgang Petersen;98;2006;ABD;$181,674,817;Mark Protosevich;Haziran;summer;0
704;Drive Angry 3D;Aksiyon;Patrick Lussier;105;2011;ABD;#YOK;#YOK;#YOK;#YOK;0
705;Pathology;Gerilim;Marc Schoelermann;95;2008;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
707;Ghosts of Girlfriends Past;Fantastik;Mark Waters;115;2009;ABD;$102,366,815;"Jon Lucas
                                        ";Temmuz;summer;0
709;Collateral;Dram;Michael Mann;120;2004;ABD;$220,239,925;"Michael Mann
                                        ";Ekim;autumn;0
711;Ted;Fantastik;Seth MacFarlane;107;2012;ABD;$549,368,315;"Seth MacFarlane
                                        ";Eylül;autumn;0
712;The Exorcism Of Emily Rose;Dram;Scott Derrickson;122;2005;ABD;$145,166,804;"Scott Derrickson
                                        ";Aral?k;winter;0
714;The Three Musketeers;Aksiyon;Paul W.S. Anderson;110;2011;Multi Nation;$53,898,845;"Alex Litvak
                                        ";Ekim;autumn;0
715;Evan Almighty;Aile;Tom Shadyac;96;2007;ABD;$174,440,724;"Joel Cohen
                                        ";A?ustos;summer;0
717;American Pie 3: The Wedding;Komedi;Jesse Dylan;103;2003;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
718;The Patriot;Aksiyon;Roland Emmerich;165;2000;Multi Nation;$215,294,342;Robert Rodat;A?ustos;summer;0
719;The Wolf of Wall Street;Dram;Martin Scorsese;180;2013;ABD;$392,000,694;Terence Winter;?ubat;winter;1
720;District B13;Bilim Kurgu;Pierre Morel;84;2004;Fransa;$10,976,892;"Luc Besson
                                        ";Kas?m;autumn;0
721;The Great Gatsby;Dram;Baz Luhrmann;143;2013;Multi Nation;$353,641,895;"Baz Luhrmann
                                        ";May?s;spring;0
722;Rango;Animasyon;Gore Verbinski;107;2011;ABD;$245,724,603;"John Logan
                                        ";Mart;spring;0
723;Freddy vs. Jason;Korku;Ronny Yu;97;2003;ABD;$116,632,628;"Wes Craven
                                        ";Mart;spring;0
724;Semum;Korku;Hasan Karacada?;120;2008;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
725;Charlie St. Cloud;Dram;Burr Steers;99;2010;ABD;$48,190,704;"Craig Pearce
                                        ";Eylül;autumn;0
726;Legend Of Zorro;Aksiyon;Martin Campbell;129;2005;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
727;Surrogates;Bilim Kurgu;Jonathan Mostow;89;2009;ABD;$122,444,772;"Michael Ferris
                                        ";Eylül;autumn;0
728;American Pie 2;Komedi;James B. Rogers;108;2001;ABD;$287,553,595;"Adam Herz
                                        ";Ekim;autumn;0
729;Camp Rock 2: The Final Jam;Komedi;"Paul Hoen
                                        ,                                                                                                                     Matthew Diamond";98;2010;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
730;Midnight Meat Train;Fantastik;Ryûhei Kitamura;98;2008;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
731;Quantum of Solace;Aksiyon;Marc Forster;106;2008;Multi Nation;$589,580,482;"Neal Purvis
                                        ";Kas?m;autumn;0
732;Thir13en Ghosts;Gerilim;Steve Beck;91;2001;ABD;$68,467,960;"Robb White
                                        ";Ocak;winter;0
733;Bad Teacher;Komedi;Jake Kasdan;92;2011;ABD;$216,197,492;"Lee Eisenberg
                                        ";Eylül;autumn;0
734;Hellboy 2: Golden Army;Aksiyon;Guillermo del Toro;120;2008;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
735;Beowulf;Animasyon;Robert Zemeckis;115;2007;ABD;$196,393,745;"Roger Avary
                                        ";Kas?m;autumn;0
736;How To Lose A Guy in 10 Days;Komedi;Donald Petrie;116;2003;ABD;$177,502,387;"Kristen Buckley
                                        ";Nisan;spring;0
738;Predestination;Bilim Kurgu;"Michael Spierig
                                        ,                                                                                                                     Peter Spierig";97;2014;Avustralya;#YOK;#YOK;#YOK;#YOK;#YOK
739;The Scorpion King;Aksiyon;Chuck Russell;92;2002;Multi Nation;$178,799,308;"Jonathan Hales
                                        ";Nisan;spring;0
740;Angel-A;Dram;Luc Besson;91;2005;Fransa;#YOK;#YOK;#YOK;#YOK;0
741;Terminator: Genesis;Bilim Kurgu;Alan Taylor;126;2015;ABD;#YOK;#YOK;#YOK;#YOK;0
742;The Reaping;Korku;Stephen Hopkins;99;2007;ABD;$62,771,059;"Carey W. Hayes
                                        ";Nisan;spring;0
744;Littleman;Komedi;Keenen Ivory Wayans;98;2006;ABD;#YOK;#YOK;#YOK;#YOK;0
745;Mad Max: Fury Road;Bilim Kurgu;George Miller;121;2015;Multi Nation;$379,436,354;"George Miller
                                        ";May?s;spring;0
746;The Imaginarium Of Doctor Parnassus;Fantastik;Terry Gilliam;123;2009;Multi Nation;$61,808,775;"Terry Gilliam
                                        ";Nisan;spring;0
748;Mar Adentro;Dram;Alejandro Amenábar;125;2004;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
749;Okul;Komedi;"Durul Taylan
                                        ,                                                                                                                     Ya?mur Taylan";100;2004;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
750;Mulholland Drive;Dram;David Lynch;147;2001;Multi Nation;$20,117,339;David Lynch;Ekim;autumn;0
751;Blow;Dram;Ted Demme;124;2001;ABD;$83,282,296;David McKenna;Eylül;autumn;0
752;Monster House;Animasyon;Gil Kenan;90;2006;ABD;$141,861,243;"Dan Harmon
                                        ";A?ustos;summer;0
753;Marley & Me;Aile;David Frankel;115;2008;ABD;$255,743,093;"Scott Frank
                                        ";Nisan;spring;0
754;The Revenant;Dram;Alejandro González Iñárritu;157;2015;Multi Nation;$532,950,503;"Alejandro González Iñárritu
                                        ";Ocak;winter;0
755;The Accidental Spy;Aksiyon;Teddy Chen;108;2001;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
756;Dead Silence;Korku;James Wan;89;2007;ABD;$22,382,047;"Leigh Whannell
                                        ";Mart;spring;0
757;The Assassination of Jesse James by the Coward Robert Ford;Aksiyon;Andrew Dominik;160;2007;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
758;Journey 2: The Mysterious Island;Bilim Kurgu;"Eric Brevig
                                        ,                                                                                                                     Brad Peyton";94;2012;ABD;$335,260,290;"Richard Outten
                                        ";Mart;spring;#YOK
759;The Fault in Our Stars;Dram;Josh Boone;126;2014;ABD;$307,166,834;"Scott Neustadter
                                        ";Haziran;summer;0
760;Immortals;Aksiyon;Tarsem Singh;110;2011;ABD;$226,904,017;"Charley Parlapanides
                                        ";Kas?m;autumn;0
761;Bridget Jones's Diary;Dram;Sharon Maguire;97;2001;Multi Nation;$281,929,795;Helen Fielding;Ekim;autumn;0
762;Transformers: Age of Extinction;Bilim Kurgu;Michael Bay;165;2014;ABD;$1,104,054,072;Ehren Kruger;Haziran;summer;0
763;Battleship;Bilim Kurgu;Peter Berg;131;2012;Multi Nation;$303,025,485;"Erich Hoeber
                                        ";Nisan;spring;0
764;I Spit on Your Grave;Gerilim;Steven R. Monroe;108;2010;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
766;Casanova;Dram;Lasse Hallström;112;2005;ABD;$37,691,644;"Jeffrey Hatcher
                                        ";Mart;spring;0
769;Persepolis;Animasyon;"Vincent Paronnaud
                                        ,                                                                                                                     Marjane Satrapi";95;2007;Multi Nation;$22,783,978;"Vincent Paronnaud
                                        ";Ekim;autumn;#YOK
770;Crazy Stupid Love;Dram;"Glenn Ficarra
                                        ,                                                                                                                     John Requa";118;2011;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
771;Kung Fu Panda: The Kaboom Of Doom;Animasyon;Jennifer Yuh Nelson;91;2011;ABD;#YOK;#YOK;#YOK;#YOK;0
773;Wrong Turn 2: Dead End;Gerilim;Joe Lynch;97;2007;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
775;Ay Lav Yu;Komedi;Sermiyan Midyat;90;2010;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
776;The Life Of David Gale;Dram;Alan Parker;130;2003;Multi Nation;$38,955,598;Charles Randolph;Aral?k;winter;0
777;Alvin and the Chipmunks;Animasyon;Tim Hill;91;2007;ABD;$365,352,546;"Jon Vitti
                                        ";Aral?k;winter;0
778;Watchmen;Bilim Kurgu;Zack Snyder;163;2009;ABD;$185,382,813;"David Hayter
                                        ";Mart;spring;0
779;Just My Luck;Aile;Donald Petrie;103;2006;ABD;$38,159,905;"I. Marlene King
                                        ";Nisan;spring;0
782;The Polar Express;Animasyon;Robert Zemeckis;100;2004;ABD;$286,000,505;Robert Zemeckis;Ocak;winter;0
783;The Aviator;Dram;Martin Scorsese;170;2004;Multi Nation;$213,719,942;John Logan;?ubat;winter;1
784;The Breed;Gerilim;"Wes Craven
                                        ,                                                                                                                     Nicholas Mastandrea";90;2006;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
785;Oblivion;Bilim Kurgu;Joseph Kosinski;124;2013;ABD;$286,168,572;"Joseph Kosinski
                                        ";Nisan;spring;0
786;Bin-Jip;Dram;Kim Ki-duk;88;2004;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
787;Sen to Chihiro no kamikakushi;Animasyon;Hayao Miyazaki;125;2001;Japonya;#YOK;#YOK;#YOK;#YOK;#YOK
788;I Now Pronounce You Chuck and Larry;Komedi;Dennis Dugan;115;2007;ABD;#YOK;#YOK;#YOK;#YOK;0
789;Incendies;Dram;Denis Villeneuve;131;2010;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
790;Kurtlar Vadisi: Gladio;Aksiyon;Sadullah ?entürk;97;2009;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
792;Ç?lg?n Dersane;Komedi;Faruk Aksoy;114;2007;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
793;Dedemin ?nsanlar?;Aile;Ça?an Irmak;123;2011;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
794;Ayla;Dram;Can Ulkay;125;2017;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
795;Kick-Ass;Aksiyon;Matthew Vaughn;117;2010;Multi Nation;$96,188,903;#YOK;#YOK;#YOK;0
800;The Happening;Bilim Kurgu;M. Night Shyamalan;91;2008;Multi Nation;$163,403,799;M. Night Shyamalan;Haziran;summer;0
801;Take The Lead;Dram;Liz Friedlander;108;2006;ABD;$66,499,627;#YOK;#YOK;#YOK;#YOK
802;Hide And Seek;Gizem;John Polson;101;2005;ABD;$123,204,920;Ari Schlossberg;Nisan;spring;0
804;You Don't Mess With The Zohan;Aksiyon;Dennis Dugan;112;2008;ABD;$204,313,400;"Adam Sandler
                                        ";A?ustos;summer;0
805;Derailed;Dram;Mikael Håfström;108;2005;Multi Nation;$57,479,076;Stuart Beattie;May?s;spring;0
806;Gothika;Gerilim;Mathieu Kassovitz;98;2003;ABD;$141,591,324;Sebastian Gutierrez;Ocak;winter;0
807;C.M.Y.L.M.Z.;Komedi;Cem Y?lmaz;174;2008;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
808;Beynelmilel;Dram;S?rr? Süreyya Önder;100;2006;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
810;Chaos;Aksiyon;Tony Giglio;106;2005;Multi Nation;$6,042,938;Tony Giglio;Nisan;spring;0
812;Easy A;Komedi;Will Gluck;92;2010;ABD;$75,026,216;#YOK;#YOK;#YOK;0
814;The Butterfly Effect 2;Bilim Kurgu;John R. Leonetti;95;2006;ABD;#YOK;#YOK;#YOK;#YOK;0
815;Enchanted;Aile;Kevin Lima;107;2007;ABD;$340,487,652;Bill Kelly;Aral?k;winter;0
817;A?k Geliyorum Demez;Aksiyon;Murat ?eker;102;2009;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
818;Priest;Aksiyon;Scott Stewart;87;2011;ABD;$4,165,845;"Cory Goodman
                                        ";May?s;spring;0
819;The Wolfman;Dram;Joe Johnston;102;2010;ABD;$139,789,765;"Andrew Kevin Walker
                                        ";?ubat;winter;0
822;Abraham Lincoln: Vampire Hunter;Aksiyon;Timur Bekmambetov;105;2012;ABD;$116,471,580;Seth Grahame-Smith;A?ustos;summer;0
823;Mystic River;Dram;Clint Eastwood;138;2003;ABD;$156,595,191;Brian Helgeland;Ekim;autumn;1
824;The Amazing Spider-Man 2;Aksiyon;Marc Webb;141;2014;ABD;$708,982,323;"Alex Kurtzman
                                        ";Nisan;spring;0
825;Warrior;Aksiyon;"Gavin O'Connor
                                        ,                                                                                                                     Michael F. Sears";140;2011;ABD;$23,308,615;#YOK;#YOK;#YOK;#YOK
830;She's The Man;Komedi;Andy Fickman;105;2006;ABD;$57,194,667;"Ewan Leslie
                                        ";May?s;spring;0
831;12 Years A Slave;Dram;Steve McQueen (i);134;2013;Multi Nation;$187,733,202;"John Ridley
                                        ";Ocak;winter;0
834;The Lizzie Mcguire Movie;Aile;Jim Fall;94;2003;ABD;$55,534,455;"Ed Decter
                                        ";Eylül;autumn;0
835;American Pie Presents: Beta House;Komedi;Andrew Waller;89;2007;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
836;The Girl With The Dragon Tattoo;Dram;Niels Arden Oplev;152;2009;Multi Nation;$104,414,200;"Nikolaj Arcel
                                        ";Eylül;autumn;0
837;The Haunting in Connecticut;Gerilim;Peter Cornwell;102;2009;ABD;$77,536,359;"Tim Metcalfe
                                        ";Haziran;summer;0
838;The Messengers;Gerilim;"Oxide Pang Chun
                                        ,                                                                                                                     Danny Pang";90;2007;ABD;$55,010,659;"Mark Wheaton
                                        ";Nisan;spring;#YOK
839;New Police Story;Aksiyon;Benny Chan;123;2004;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
840;Taking Lives;Gerilim;D.J. Caruso;103;2004;ABD;$65,470,529;Jon Bokenkamp;Temmuz;summer;0
841;Up in The Air;Dram;Jason Reitman;110;2009;ABD;$166,842,739;"Sheldon Turner
                                        ";Ocak;winter;0
842;Abimm;Dram;?afak Bal;108;2009;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
843;A Christmas Carol;Animasyon;Robert Zemeckis;94;2009;ABD;$325,286,646;Robert Zemeckis;Kas?m;autumn;0
844;Cloud Atlas;Bilim Kurgu;"Tom Tykwer
                                        ,                                                                                                                     Lilly Wachowski
                                        ,                                                                                                                     Lana Wachowski";172;2012;Multi Nation;$130,482,868;"Tom Tykwer
                                        ";Ekim;autumn;#DE?ER!
846;Mustafa Hakk?nda Her ?ey;Dram;Ça?an Irmak;119;2004;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
848;Legion;Aksiyon;Scott Charles Stewart;100;2010;ABD;$67,918,658;"Scott Charles Stewart
                                        ";Nisan;spring;0
849;Scooby Doo 2: Monsters Unleashed;Fantastik;Raja Gosnell;93;2004;ABD;#YOK;#YOK;#YOK;#YOK;0
850;El Cuerpo;Gerilim;Oriol Paulo;108;2012;?spanya;#YOK;#YOK;#YOK;#YOK;#YOK
851;Hababam S?n?f? Merhaba;Komedi;Kartal Tibet;118;2004;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
852;Machete;Aksiyon;"Robert Rodriguez
                                        ,                                                                                                                     Ethan Maniquis";105;2010;ABD;$45,491,656;"Robert Rodriguez
                                        ";Eylül;autumn;#YOK
853;Da? 2;Dram;Alper Ça?lar;135;2016;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
854;Hababam S?n?f? Askerde;Komedi;Ferdi E?ilmez;101;2005;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
855;Hugo;Aile;Martin Scorsese;126;2011;Multi Nation;$185,770,160;"John Logan
                                        ";Aral?k;winter;1
856;Flipped;Dram;Rob Reiner;89;2010;ABD;#YOK;#YOK;#YOK;#YOK;0
857;Rob B Hood;Aksiyon;Benny Chan;126;2006;Hong Kong;#YOK;#YOK;#YOK;#YOK;#YOK
858;The Taking Of Pelham 123;Aksiyon;Tony Scott;106;2009;ABD;$150,166,126;Brian Helgeland;Temmuz;summer;0
859;Vali;Dram;Ça?atay Tosun;110;2009;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
860;Neredesin Firuze;Dram;Ezel Akay;120;2004;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
862;Cell 211;Aksiyon;Daniel Monzon;110;2009;Multi Nation;$19,300,483;#YOK;#YOK;#YOK;#YOK
863;Midnight in Paris;Fantastik;Woody Allen;94;2011;Multi Nation;$151,672,318;Woody Allen;Eylül;autumn;0
864;Red Dragon;Dram;Brett Ratner;124;2002;Multi Nation;$209,196,298;Ted Tally;Kas?m;autumn;0
866;The Imitation Game;Dram;Morten Tyldum;113;2014;Multi Nation;$233,555,708;Graham Moore;?ubat;winter;0
867;Splice;Bilim Kurgu;Vincenzo Natali;104;2009;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
869;From Hell;Gerilim;"Albert Hughes
                                        ,                                                                                                                     Allen Hughes";122;2001;Multi Nation;$74,558,115;"Terry Hayes
                                        ";?ubat;winter;#YOK
870;Das Leben der Anderen;Dram;Florian Henckel von Donnersmarck;137;2006;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
871;The Fountain;Bilim Kurgu;Darren Aronofsky;96;2006;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
872;Gone Girl;Dram;David Fincher;149;2014;ABD;$369,330,363;Gillian Flynn;Ekim;autumn;1
873;[Rec] 2;Gerilim;"Jaume Balagueró
                                        ,                                                                                                                     Paco Plaza";84;2009;?spanya;#YOK;#YOK;#YOK;#YOK;#YOK
875;Mr. Brooks;Gerilim;Bruce A. Evans;120;2007;ABD;$48,443,734;"Bruce A. Evans
                                        ";Haziran;summer;0
876;Daybreakers;Bilim Kurgu;"Michael Spierig
                                        ,                                                                                                                     Peter Spierig";98;2009;Multi Nation;$51,416,464;"Michael Spierig
                                        ";Mart;spring;#YOK
877;The Descent: Part 2;Gerilim;Jon Harris;94;2009;?ngiltere;#YOK;#YOK;#YOK;#YOK;#YOK
878;Wrath Of The Titans;Fantastik;Jonathan Liebesman;99;2012;Multi Nation;$301,970,083;"Steven Knight
                                        ";Mart;spring;0
879;EuroTrip;Komedi;Jeff Schaffer;93;2004;ABD;$22,605,153;"Alec Berg
                                        ";?ubat;winter;0
880;D@bbe;Gerilim;Hasan Karacada?;111;2006;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
